#SN,zhel,tmax(B),+/-_x,ref.,Dm15,+/-.1_x,ref..1,M_B,+/-.2_x,B-V,+/-.3_x,Bm-Vm,+/-.4_x,Phot.,ref..2,n_spec,RA,DEC,z_CMB,+/-_y,m_B,+/-.1_y,x_1,+/-.2_y,c,+/-.3_y,mu,+/-.4_y
1999ej,0.0137,51483.1,0.9,"B,M,SA,SN",1.48,0.03,B,-19.23,0.08,-0.18,0.04,-0.17,0.04,"CfA2,Gan10",,5.0,20.739083333333333,33.46611111111111,0.013000000000000001,0.001,15.345,0.08800000000000001,-2.093,0.401,0.042,0.045,34.465,0.305
1999ek,0.0175,51482.1,0.4,"B,M,SA,SN",1.14,0.03,B,-19.33,0.07,-0.12,0.04,-0.1,0.04,"CfA2,Jha07",,4.0,84.13166666666666,16.638277777777773,0.018000000000000002,0.001,15.588,0.008,-0.9990000000000001,0.11599999999999999,0.17,0.009000000000000001,34.505,0.225
1999gd,0.0183,51519.4,1.6,"M,SA,SN",1.18,0.05,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA2,,5.0,129.60254166666664,25.759194444444447,0.019,0.001,16.915,0.03,-1.114,0.226,0.46,0.021,35.102,0.22399999999999998
1999gh,0.0077,51513.0,0.9,Jha07,1.69,0.05,CfA2,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA2,,15.0,146.08229166666663,-21.27361111111111,,,,,,,,,,
1999gp,0.0267,51550.1,1.3,"B,M,SA",0.87,0.04,B,-19.64,0.07,-0.12,0.04,-0.08,0.04,"CfA2,Jha07,Gan10",,10.0,37.913125,39.38119444444445,0.026000000000000002,0.001,15.984000000000002,0.009000000000000001,1.443,0.094,0.057,0.01,35.437,0.19399999999999998
2000ce,0.0163,51667.3,0.5,B,1.0,0.08,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA2,Jha07",,4.0,121.289375,66.78755555555556,0.017,0.001,17.008,0.022000000000000002,0.613,0.179,0.579,0.017,35.080999999999996,0.237
2000cf,0.0364,51672.3,0.8,"B,M,SA,SN",1.16,0.05,B,-19.44,0.08,-0.16,0.06,-0.16,0.06,"CfA2,Jha07",,6.0,238.234125,65.93686111111111,0.036000000000000004,0.001,17.02,0.024,-0.836,0.129,0.017,0.015,36.332,0.182
2000cp,0.0342,51719.9,1.2,"B,M,SA,SN",1.09,0.09,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10,,3.0,241.36508333333327,17.830222222222222,,,,,,,,,,
2000cw,0.0301,51747.9,0.0,"B,M,SA,SN",1.22,0.04,B,-19.4,0.08,-0.18,0.04,-0.17,0.04,Gan10,,1.0,356.85458333333327,28.387722222222227,,,,,,,,,,
2000cx,0.0081,51752.8,0.3,"B,M,SA",0.99,0.02,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA2,Jha07",,17.0,21.192458333333327,9.508694444444442,,,,,,,,,,
