idx,SN,zhel_spec,tmax(B)_spec,tmax(B)_err_spec,ref_spec,Dm15_spec,Dm15_err_spec,ref1_spec,M_B_spec,M_B_err_spec,B-V_spec,B-V_err_spec,Bm-Vm_spec,Bm-Vm_err_spec,Phot_ref_spec,ref..2,n_spec,RA,DEC,z_CMB,z_CMB_salt2_err,m_B_salt2,m_B_salt2_err,x_1_salt2,x_1_salt2_err,c_salt2,c_salt2_err,mu_salt2,mu_salt2_err,EW5972_spec,EW6355_spec,v6355_spec,Phase_spec,BClass_spec,WClass_spec,SNIa_salt,z_cmb_salt,z_err_salt,m_B_salt,m_B_err_salt,s_salt,s_err_salt,c_salt,c_err_salt,mu_salt,mu_err_salt,SNIa_ml31,z_ml31,z_err_ml31,x1_ml31,x1_err_ml31,c_ml31,c_err_ml31,mu_ml31,mu_err_ml31
173,2006cm,0.0163,53885.4,0.5,B,1.04,0.07,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,2.0,320.07283333333334,-1.6843055555555555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,2006cp,0.0223,53896.7,0.0,"B,M,SA,SN",0.98,0.09,B,-19.47,0.09,-0.09,0.05,-0.06,0.05,CfA3,,11.0,184.81204166666663,22.427277777777785,0.023,0.001,15.972999999999999,0.015,-0.07200000000000001,0.1,0.153,0.013000000000000001,35.028,0.20199999999999999,14.6,147.4,-12535.0,6.3,BL,HV,sn06cp,0.023,0.001,15.977,0.138,0.941,0.005,0.151,0.005,34.977,0.184,sn06cp,0.023,0.001,-0.138,0.061,0.7040000000000001,0.109,34.846,0.18899999999999997
175,2006cq,0.0483,53889.8,0.0,M,9.99,9.99,,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,1.0,201.1045833333333,30.95630555555556,0.049,0.001,17.535999999999998,0.013000000000000001,-0.009000000000000001,0.47600000000000003,0.035,0.013999999999999999,36.89,0.179,12.9,84.8,-10544.0,-3.3,CN,N,sn06cq,0.049,0.001,17.541,0.138,0.99,0.043,0.033,0.009000000000000001,36.907,0.161,sn06cq,0.049,0.001,-0.23399999999999999,0.10400000000000001,0.162,0.12,37.069,0.175
176,2006cz,0.0418,53907.3,0.1,SA,9.99,9.99,,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,3.0,222.15275,-4.741861111111112,,,,,,,,,,,5.8,52.3,-11629.0,-1.0,SS,91T,,,,,,,,,,,,,,,,,,,,
177,2006em,0.0192,53976.7,0.7,"B,M",1.5,0.15,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA3,Gan10",,1.0,36.43458333333332,41.942166666666665,,,,,,,,,,,62.4,91.1,-9564.0,3.7,CL,91bg,,,,,,,,,,,,sn06em,0.018000000000000002,0.001,1.463,0.083,0.49700000000000005,0.237,35.063,0.247
178,2006eq,0.0495,53975.3,0.5,Bur11,1.62,0.05,Bur11,-99.99,9.99,-9.99,9.99,-9.99,9.99,Con10,,1.0,322.15470833333325,1.2281111111111112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,2006et,0.0224,53993.9,0.5,"B,M,SA,SN",1.02,0.05,B,-19.52,0.08,-0.07,0.06,-0.05,0.06,CfA3,,2.0,10.690916666666665,-23.55844444444445,0.021,0.001,15.942,0.025,0.626,0.226,0.201,0.02,34.951,0.214,17.3,76.4,-9458.0,2.4,CN,N,sn06et,0.021,0.001,15.937,0.139,1.106,0.014,0.156,0.01,35.128,0.193,sn06et,0.021,0.001,-0.225,0.07400000000000001,0.474,0.139,35.032,0.217
180,2006ev,0.0286,53988.6,0.5,Str11,1.32,0.05,Str11,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA3,Str11",,1.0,322.74691666666666,13.989222222222221,,,,,,,,,,,22.1,124.2,-11455.0,5.5,BL,N,,,,,,,,,,,,,,,,,,,,
181,2006gj,0.0283,53999.1,0.2,"M,SA,SN",1.48,0.05,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,2.0,49.39916666666666,-1.6917222222222217,0.027999999999999997,0.001,17.651,0.03,-2.171,0.275,0.408,0.022000000000000002,35.85800000000001,0.2,38.7,108.4,-11394.0,-0.7,CL,N,sn06gj,0.028,0.001,17.6,0.139,0.68,0.011,0.316,0.011,35.84900000000001,0.175,sn06gj,0.027999999999999997,0.001,0.513,0.135,1.112,0.187,35.306,0.18100000000000002
182,2006gr,0.0346,54012.4,0.5,"B,M,SA,SN",0.81,0.07,B,-19.64,0.08,-0.12,0.05,-0.08,0.06,CfA3,,17.0,338.0944583333333,30.82869444444445,0.034,0.001,16.909000000000002,0.01,0.405,0.09300000000000001,0.113,0.009000000000000001,36.115,0.18100000000000002,10.4,64.8,-11955.0,-1.1,SS,N,sn06gr,0.034,0.001,16.933,0.138,0.991,0.005,0.14,0.004,36.023,0.162,sn06gr,0.034,0.001,-0.254,0.036000000000000004,0.353,0.098,36.209,0.153
183,2006gt,0.0448,54001.9,0.2,Bur11,1.66,0.05,Bur11,-99.99,9.99,-9.99,9.99,-9.99,9.99,Con10,,3.0,14.072083333333332,-1.6294444444444445,,,,,,,,,,,43.2,115.5,-10359.0,1.4,CL,91bg,,,,,,,,,,,,sn06gt,0.044000000000000004,0.001,0.7070000000000001,0.151,0.147,0.131,36.796,0.18
