#SN,RA,DEC
2001F,199.33354166666666,20.636055555555554
2001G,137.38825,50.28091666666666
2001L,174.20345833333332,-8.585277777777778
2001N,159.992,24.090555555555554
2001P,178.3398333333333,20.74813888888889
2001U,211.17891666666665,-9.70825
2001V,179.353875,25.2025
2001ah,167.62424999999996,55.16083333333333
2001ay,216.5708333333333,26.248833333333334
2001az,248.61545833333332,76.02966666666667
2001bf,270.391625,26.25063888888889
2001bg,128.8285833333333,28.468277777777775
2001bp,240.53854166666665,36.71888888888889
2001br,277.6064583333333,34.103611111111114
2001bs,235.91404166666663,67.75841666666666
2001cj,200.43687499999996,31.246833333333335
2001ck,219.45866666666666,30.483944444444447
2001cp,257.76075,5.840777777777777
2001da,358.3865833333333,8.11738888888889
2001de,338.5752499999999,50.415194444444445
2001eb,67.68791666666665,0.871638888888889
2001ec,33.00179166666667,31.5455
2001ed,27.96283333333333,6.2909444444444444
2001eh,24.550416666666663,41.65522222222222
2001en,21.345416666666665,34.02513888888889
2001eo,115.37958333333333,51.68483333333333
2001ep,74.25108333333333,-4.761166666666667
2001es,30.53445833333333,19.09097222222222
2001ex,103.99954166666666,55.40083333333333
2001fe,144.48791666666665,25.494805555555555
2001fh,320.17708333333326,44.39811111111111
2001fu,133.0690833333333,-17.741611111111112
2001gb,149.75399999999996,17.82011111111111
2001gc,88.85891666666666,51.9095
2001ib,333.9113333333333,37.29888888888889
2001ic,347.6805833333333,7.569555555555556
2001ie,154.21125,60.27902777777778
2001if,37.228874999999995,38.097972222222225
2001iq,336.29341666666664,42.71783333333334
2002G,196.98024999999998,34.08513888888889
2002H,204.61491666666663,-10.72025
2002I,200.61183333333332,-2.4178055555555553
2002ar,174.433,22.009555555555554
2002av,92.02641666666666,-23.987000000000002
2002aw,249.3710833333333,40.88063888888889
2002bf,153.92629166666666,55.668527777777776
2002bg,224.9134583333333,13.212361111111111
2002bi,203.2265,9.521666666666668
2002bn,173.16274999999996,52.948138888888884
2002bo,154.52712499999998,21.82825
2002br,158.53716666666662,19.705694444444443
2002bs,199.62625,-14.608833333333333
2002bt,204.05499999999995,-1.0388333333333335
2002bw,259.14833333333326,-10.342166666666667
2002bz,216.1688333333333,26.626305555555557
2002cc,128.5082083333333,55.653444444444446
2002cd,305.8934166666666,58.3465
2002cf,193.63041666666663,-6.856888888888888
2002ci,243.90812499999996,31.3215
2002ck,236.75312499999995,-0.9904166666666666
2002cr,211.65662499999996,-5.439416666666667
2002cs,281.7498333333333,45.70547222222223
2002cu,272.71,31.108972222222224
2002cx,198.45716666666667,6.958861111111111
2002db,218.71512499999997,48.66469444444444
2002de,244.1265833333333,35.70838888888889
2002df,311.41387499999996,-4.951305555555556
2002di,253.0970833333333,30.711111111111112
2002dj,198.25141666666664,-19.51908333333333
2002dk,274.4313333333333,22.248166666666666
2002dl,335.2248333333333,33.29269444444444
2002do,299.05366666666663,40.43633333333333
2002dp,352.12549999999993,22.427444444444447
2002ef,357.87308333333334,-13.379555555555555
2002er,257.87449999999995,7.995777777777778
2002es,50.94679166666666,40.56486111111111
2002et,302.12924999999996,-25.460416666666667
2002eu,27.431666666666665,32.62861111111111
2002ey,347.55137499999995,7.549972222222222
2002fb,29.453749999999996,36.34063888888889
2002fk,50.52379166666666,-15.40088888888889
2002ha,311.82741666666664,0.31266666666666665
2002hd,133.51954166666664,-7.183277777777778
