,,SN,F_b,F_b_err,F_r,F_r_err,pEW,pEW_err,d_pEW,d_pEW_err,v,v_err,a,a_err,FWHM,FWHM_err
SN,2002ef,4.7,1.25,0.04,1.0,0.04,66.5,4.1,-4.3,14.1,8.27,0.11,0.309,0.009000000000000001,257.8,2.4
SN,2002er,-4.58,5.54,0.03,4.99,0.03,77.2,4.6,5.7,14.2,10.74,0.11,0.366,0.005,126.9,2.4
SN,2002er,5.26,7.11,0.06,5.99,0.02,77.7,4.6,8.8,14.2,8.46,0.11,0.354,0.005,261.8,2.4
SN,2002eu,-0.06,0.61,0.01,0.54,0.01,81.0,4.9,2.6,14.3,9.14,0.11,0.38299999999999995,0.011000000000000001,262.1,2.4
SN,2002fb,0.98,1.08,0.02,0.78,0.01,57.4,3.5,-20.6,13.9,7.18,0.11,0.28800000000000003,0.006,249.1,2.4
SN,2002fk,7.74,20.58,0.11,14.99,0.12,62.2,3.8,4.1,14.0,7.14,0.11,0.341,0.006,145.0,2.4
SN,2002ha,-0.85,4.46,0.03,3.61,0.01,74.1,4.5,-4.0,14.2,9.11,0.11,0.374,0.006999999999999999,153.8,2.4
SN,2002ha,4.93,4.45,0.04,3.79,0.04,80.6,4.7,10.5,14.3,8.13,0.11,0.391,0.006999999999999999,258.4,2.4
SN,2002ha,7.89,10.16,0.05,7.3,0.05,47.3,2.9,-10.1,13.8,7.69,0.11,0.27,0.006999999999999999,92.7,2.4
SN,2002hd,6.48,1.3,0.02,0.91,0.01,54.0,3.4,-10.1,13.9,7.44,0.11,0.306,0.006999999999999999,100.5,2.4
SN,2002he,-5.91,0.79,0.02,0.62,0.02,60.4,5.2,-6.6,14.4,11.6,0.11,0.31,0.003,250.0,1.2
SN,2002he,-1.03,1.91,0.04,1.67,0.03,76.9,6.4,-1.1,14.9,10.6,0.11,0.353,0.008,269.0,1.2
SN,2002he,0.29,1.69,0.01,1.45,0.01,85.5,4.9,7.2,14.3,9.82,0.11,0.373,0.001,275.2,2.4
SN,2002he,3.22,3.93,0.03,3.15,0.04,79.9,4.6,5.2,14.2,9.07,0.11,0.354,0.006,271.3,2.4
SN,2002hu,-5.81,0.6,0.01,0.44,0.01,42.3,2.8,-25.0,13.7,9.42,0.11,0.21899999999999997,0.008,137.0,2.4
SN,2002hw,-6.27,0.93,0.01,0.9,0.01,72.6,4.2,7.1,14.1,9.91,0.11,0.348,0.006999999999999999,253.6,2.4
SN,2002kf,6.81,2.66,0.02,2.18,0.02,81.5,4.8,18.9,14.3,8.17,0.11,0.387,0.005,261.0,2.4
SN,2003U,-2.55,0.81,0.01,0.68,0.02,66.9,4.2,-9.4,14.1,8.3,0.11,0.353,0.006999999999999999,93.5,2.4
SN,2003W,-5.06,0.66,0.01,0.62,0.02,68.6,4.1,-1.4,14.1,13.06,0.11,0.275,0.005,284.3,2.4
SN,2003ai,7.25,1.0,0.02,0.72,0.02,38.7,2.5,-21.9,13.7,7.44,0.11,0.205,0.008,79.2,2.4
SN,2003cq,-0.15,0.51,0.01,0.42,0.01,83.4,4.9,5.1,14.3,9.48,0.11,0.37,0.004,133.6,2.4
SN,2003gn,-5.38,0.19,0.01,0.16,0.01,82.0,5.3,13.0,14.4,9.83,0.11,0.39899999999999997,0.021,257.1,2.4
SN,2003gt,-5.07,2.7,0.06,2.39,0.03,48.4,3.2,-21.6,13.8,10.89,0.11,0.191,0.006,108.3,2.4
SN,2003he,2.71,1.34,0.02,1.38,0.02,50.3,3.2,-25.4,13.8,9.03,0.11,0.303,0.004,187.2,2.4
SN,2003iv,1.76,0.03,0.0,0.02,0.0,85.5,5.2,8.3,14.4,8.5,0.11,0.473,0.013999999999999999,166.3,2.4
SN,2003iv,6.58,0.21,0.01,0.18,0.01,68.5,4.4,4.8,14.1,7.76,0.11,0.385,0.004,197.2,2.4
SN,2003kf,-7.5,6.86,0.04,5.52,0.03,47.2,3.0,-12.8,13.8,10.96,0.11,0.23199999999999998,0.005,87.4,2.4
SN,2004E,5.26,1.66,0.02,1.44,0.01,38.4,2.5,-30.5,13.7,9.76,0.11,0.23,0.004,97.1,2.4
SN,2004S,8.26,7.38,0.01,5.8,0.01,49.6,3.1,-5.7,13.8,7.4,0.11,0.304,0.005,83.2,2.4
SN,2004bd,10.76,2.99,0.04,2.52,0.02,28.5,2.0,-11.0,13.6,5.76,0.11,0.212,0.004,71.4,2.4
SN,2004bk,6.13,2.29,0.03,1.74,0.01,62.4,3.7,-3.2,13.9,10.16,0.11,0.293,0.006,248.3,2.4
SN,2004bl,4.61,2.43,0.09,1.94,0.03,97.3,5.4,26.2,14.5,8.03,0.11,0.39399999999999996,0.004,265.4,2.4
SN,2004bv,9.77,11.02,0.08,7.99,0.06,44.5,2.8,-1.7,13.7,7.56,0.11,0.27,0.009000000000000001,126.7,2.4
SN,2004bw,6.59,1.39,0.01,1.14,0.02,67.8,4.1,4.2,14.1,7.77,0.11,0.361,0.005,205.6,2.4
SN,2004dt,-6.46,2.35,0.04,1.9,0.02,61.1,3.8,-3.6,14.0,10.68,0.11,0.321,0.006,107.9,2.4
SN,2004dt,1.38,3.66,0.02,2.83,0.02,84.7,3.1,7.1,13.8,8.7,0.11,0.363,0.005,127.5,6.0
SN,2004ef,-5.52,0.48,0.01,0.43,0.01,57.4,3.6,-11.1,13.9,11.06,0.11,0.297,0.006,252.2,2.4
SN,2004eo,-5.57,1.42,0.03,1.11,0.01,62.8,3.9,-5.5,14.0,9.38,0.11,0.322,0.008,250.1,2.4
SN,2004ey,-7.58,2.97,0.02,2.34,0.02,58.4,3.6,-1.2,13.9,10.82,0.11,0.29,0.006999999999999999,145.7,2.4
SN,2004fu,-2.65,3.87,0.03,3.7,0.03,89.7,5.2,13.5,14.4,9.64,0.11,0.389,0.004,271.5,2.4
SN,2004fu,2.43,4.42,0.05,4.01,0.02,102.5,5.7,26.3,14.6,8.22,0.11,0.43200000000000005,0.002,275.5,2.4
SN,2004fz,-5.18,3.06,0.05,2.46,0.02,70.3,4.1,0.7,14.1,9.42,0.11,0.36200000000000004,0.006999999999999999,159.2,2.4
SN,2004gs,0.44,0.72,0.01,0.6,0.01,85.3,5.0,7.1,14.4,7.34,0.11,0.38799999999999996,0.004,270.8,2.4
SN,2005M,8.23,0.48,0.01,0.38,0.01,71.2,6.0,15.8,14.7,6.12,0.11,0.379,0.008,99.0,1.2
SN,2005W,0.59,3.33,0.08,3.38,0.07,83.9,6.9,5.7,15.1,7.86,0.11,0.391,0.005,134.0,1.2
SN,2005am,4.47,14.74,0.05,12.86,0.08,85.8,5.0,14.3,14.4,9.13,0.11,0.41,0.004,265.9,2.4
SN,2005am,6.37,13.9,0.09,11.27,0.03,68.3,2.5,3.8,13.7,8.16,0.11,0.335,0.005,143.9,6.1
SN,2005ao,-1.29,0.65,0.01,0.6,0.01,77.8,4.5,0.0,14.2,10.32,0.11,0.34,0.004,269.6,2.4
SN,2005ao,0.52,0.51,0.01,0.44,0.01,73.2,4.2,-5.0,14.1,9.79,0.11,0.307,0.008,258.1,2.4
SN,2005bc,1.55,2.01,0.02,1.82,0.01,67.9,4.1,-9.5,14.1,8.26,0.11,0.336,0.006,116.6,2.4
SN,2005bc,7.37,1.95,0.03,1.61,0.01,48.8,3.0,-11.2,13.8,6.54,0.11,0.271,0.005,247.0,2.4
SN,2005cf,-2.11,120.15,0.9,103.17,0.6,72.2,4.4,-4.7,14.2,8.71,0.11,0.36700000000000005,0.006999999999999999,155.0,2.4
SN,2005cf,-1.19,25.29,0.21,21.12,0.15,77.3,4.7,-0.6,14.2,9.25,0.11,0.381,0.006999999999999999,123.2,2.4
SN,2005de,-0.75,2.38,0.06,2.09,0.03,79.7,4.9,1.5,14.3,9.01,0.11,0.382,0.008,151.7,2.4
SN,2005de,10.1,2.48,0.02,1.67,0.02,37.3,2.4,-6.8,13.7,7.08,0.11,0.247,0.006999999999999999,165.5,2.4
SN,2005dv,-0.57,1.35,0.06,1.22,0.03,106.4,6.0,28.2,14.7,10.2,0.11,0.436,0.011000000000000001,277.1,2.4
SN,2005el,-6.7,2.22,0.02,1.74,0.02,52.2,3.2,-11.5,13.8,10.35,0.11,0.26899999999999996,0.006,254.2,2.4
SN,2005el,1.22,3.51,0.05,3.09,0.03,76.5,4.5,-1.3,14.2,8.93,0.11,0.37200000000000005,0.006,122.2,2.4
SN,2005el,8.09,3.42,0.03,2.46,0.01,48.5,3.1,-7.7,13.8,7.97,0.11,0.287,0.006,88.7,2.4
SN,2005er,-0.26,0.0,0.0,0.0,0.0,27.1,2.6,-51.2,13.7,6.77,0.11,0.14400000000000002,0.003,266.0,1.2
SN,2005eq,0.66,1.3,0.02,1.04,0.01,84.7,4.6,6.5,14.2,8.87,0.11,0.324,0.004,276.0,2.4
SN,2005hj,7.51,0.54,0.02,0.46,0.01,38.6,3.5,-20.7,13.9,8.69,0.11,0.20800000000000002,0.006999999999999999,244.0,1.2
SN,2005iq,-5.86,8.91,0.12,6.99,0.08,62.3,5.3,-4.9,14.5,9.5,0.11,0.301,0.006999999999999999,257.0,1.2
SN,2005kc,10.28,0.14,0.0,0.11,0.0,27.6,2.5,-15.2,13.7,7.31,0.11,0.19399999999999998,0.006999999999999999,182.0,1.2
SN,2005ki,1.62,10.16,0.08,8.85,0.06,77.7,6.4,0.3,14.9,9.14,0.11,0.35700000000000004,0.002,267.0,1.2
SN,2005ki,8.35,2.33,0.04,1.7,0.04,43.3,2.7,-11.5,13.7,6.88,0.11,0.19899999999999998,0.011000000000000001,141.2,2.4
SN,2005lz,0.58,6.62,0.12,5.82,0.09,81.5,6.8,3.3,15.1,8.2,0.11,0.374,0.006999999999999999,263.0,1.2
SN,2005ms,-1.88,3.49,0.07,3.14,0.1,69.6,4.3,-7.6,14.1,8.52,0.11,0.34600000000000003,0.006,99.5,2.4
SN,2005na,0.03,1.2,0.03,0.95,0.02,57.0,3.6,-21.3,13.9,9.7,0.11,0.275,0.004,120.8,2.4
SN,2005na,1.03,1.48,0.04,1.27,0.04,68.2,4.2,-9.8,14.1,8.95,0.11,0.325,0.011000000000000001,91.6,2.4
SN,2006D,3.7,23.23,0.11,17.51,0.1,82.2,4.9,8.6,14.3,8.67,0.11,0.39899999999999997,0.005,259.8,2.4
SN,2006N,-1.89,2.77,0.04,2.34,0.02,64.6,3.9,-12.6,14.0,9.51,0.11,0.29,0.005,266.2,2.4
SN,2006N,-0.9,2.5,0.04,2.01,0.01,81.6,4.9,3.5,14.3,10.15,0.11,0.371,0.006,272.1,2.4
SN,2006S,-3.93,12.57,0.36,10.16,0.41,53.0,3.3,-20.4,13.9,10.63,0.11,0.244,0.013000000000000001,250.0,2.4
SN,2006S,2.99,0.71,0.02,0.65,0.01,79.6,4.7,4.4,14.3,9.45,0.11,0.358,0.004,255.8,2.4
SN,2006X,3.15,8.11,0.03,9.89,0.04,72.1,3.9,-2.8,14.0,11.36,0.11,0.257,0.002,304.4,2.4
SN,2006ac,7.96,1.98,0.02,1.5,0.01,56.6,3.3,-0.3,13.9,8.33,0.11,0.278,0.006999999999999999,261.9,2.4
SN,2006ak,8.43,0.57,0.0,0.46,0.0,42.8,2.6,-11.6,13.7,8.33,0.11,0.226,0.003,129.1,2.4
SN,2006ax,-10.07,0.92,0.01,0.7,0.01,38.6,2.5,-6.6,13.7,10.45,0.11,0.188,0.004,112.1,2.4
SN,2006bq,6.97,6.29,0.06,4.74,0.04,58.1,3.4,-3.8,13.9,8.62,0.11,0.255,0.004,270.1,2.4
SN,2006bt,-5.3,0.49,0.01,0.42,0.0,44.1,2.9,-25.1,13.8,8.21,0.11,0.259,0.006999999999999999,255.8,2.4
